题名,URL,作者,来源,发表日期,数据库类型,被引用次数,关键词,摘要
慢性淋巴细胞性甲状腺炎合并甲状腺结节的临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Y-qKQjt0VyFn_BDCtEHl-T7YL3SDoJHFBYAPZnwDWmmsNG6rTlHgTlqPtgmZAlBVa_GpsXg3GpeRyOjvvSq06QxEKglB_MWpzEyMhn_laJ1yfSrgXrpynQY8JGlSEIzYI=&uniplatform=NZKPT&language=CHS,王智强;孔令宇;聂春磊;管强;张杰武,现代生物医学进展,7/30/2012,期刊,4,慢性淋巴细胞性甲状腺炎; 自身免疫性疾病; 甲状腺结节;,"目的:研究分析中国东北地区慢性淋巴细胞性甲状腺炎(CLT)合并甲状腺结节的诊断和治疗方式。方法:回顾性分析2009年9月--2010年12月收治经病理证实的CLT合并甲状腺结节的共151病例,依据不同的病理类型分组,就临床特点、诊断和治疗进行比较。结果:CLT合并甲状腺乳头状癌组共58例,女性51例,男性7例,平均年龄37.5±4岁,平均病程18个月,28例为腺体内单发结节,病灶平均直径为0.9±0.56 cm,36例病灶直径小于1.0 cm,42例见结节内伴钙化。CLT合并良性结节组98例,女性患者93例,男性患者5例,平均年龄48.1±9岁,平均病程72个月,34例为腺体内单发结节,病灶平均直径1.8±0.42 cm,35例病灶直径小于1.0 cm,10例见结节内伴钙化。两组在发病年龄、病程、结节个数及钙化方面的差异均有统计学意义。结论:CLT合并甲状腺癌微小癌多见,淋巴结转移率低,彩超提示单发结节或者结节合并钙化的病例,应行手术治疗。"
慢性淋巴细胞性甲状腺炎20例临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZtGJRKSIxttfQl8twzIlksKKaO85AqycP2AmJtN0Q_Q9hmXpOfLMoCZkBhaQ0QOfAVOx2zgfCjiwciBzYgOLYJwKefddf6VoPIs7eTU9tgIA4-WSpREX9ZtH-IJ7tTO40=&uniplatform=NZKPT&language=CHS,何戎华;陈家伟,江苏医药,4/1/1978,期刊,4,,"<正> 慢性淋巴细胞性甲状腺炎又称桥本氏病(Hashimoto氏病),是非毒性甲状腺肿中比较常见的疾病之一,其发病率约为亚急性甲状腺炎的5倍,近年来发病率有增高趋势。在缺乏免疫学测定条件下一般不易及时诊断。本文搜集全部经病理确诊的20例进行临床分析,探索其诊断规律以供临床参考。临床资料: 一、性别及年龄:女16例,男4例,女:男为4:i。年龄13一60岁,其中3660岁15例(75%)。二、家族史:皆为阴性。三、病程:自发病至就诊时间由1个月至10年不等,6个月以内了例,6月一1年3例,·艺2。1年一9年5例,10年以上2例,3例病程不详。"
慢性淋巴细胞性甲状腺炎合并甲状腺癌5例分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZtGJRKSIxttfQl8twzIlksKKaO85AqycNFd40EhZSZGlBtGwMNe2zNllhf5hyXiaTMFeb47mD9Ww3z0ptXRwhl9NxH39YZqZeaDkC7qijqJMKPx1vBcB_j25uPd2jPmts=&uniplatform=NZKPT&language=CHS,徐三荣,镇江医学院学报,12/30/1998,期刊,4,,
实时超声弹性成像组织弥散定量诊断慢性淋巴细胞性甲状腺炎的初步探讨,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_b7y9rtyhOKvROdDI4fwO0hhgRO0ySF_P9NpRE7_wC-mQdBP8I1s8xPQ16jBPKypzKucUXF8_estY7CwwGkRww3vXCHuYfjfTTV-Tu-t-50UCkZY4J8FbCU60yb9D1ZTolLN1gNo1npIQ==&uniplatform=NZKPT&language=CHS,何峥;徐菲;吴凡;高志玲,诊断学理论与实践,10/25/2015,期刊,4,实时超声弹性成像; 组织弥散; 慢性淋巴细胞性甲状腺炎;,"目的:探讨实时超声弹性成像(real-time ultrasound elastography,RTE)组织弥散定量技术在慢性淋巴细胞性甲状腺炎诊断中的应用价值。方法:对46名健康体检志愿者和42例慢性淋巴细胞性甲状腺炎(Hashimoto′s thyroiditis,HT)患者分别进行RTE检测,并行组织弥散定量分析获得弥散指数(LF index值)。结果 :健康体检志愿者组LF index值为1.217 6±0.800 0,HT组LF index值为2.466 9±0.710 0,用组间t检验方法进行数据分析,2组间LF index值的差异有统计学意义(P<0.05)。结论 :RTE能反映HT患者甲状腺组织的弹性情况,具有一定的临床应用价值。"
软坚消瘿汤治疗慢性淋巴细胞性甲状腺炎的临床疗效,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_b2TbZ3Iul3uHYgDEVEXW8jnrlqOeExvtqBOPE8iDZtp5L1UvFvlVCDAeFlcyWdryWluU_1L1PbYj7vX9qtS0j_05OCFLLzwIRgH4AnHLH53nBLfRQ87W1uP5XHI4uPdWUS7ctRY8oAmQ==&uniplatform=NZKPT&language=CHS,刘美莲;杨亚茹,世界最新医学信息文摘,10/8/2015,期刊,4,软坚消瘿汤; 慢性淋巴细胞性甲状腺炎; 临床疗效;,"目的探究软坚消瘿汤治疗慢性淋巴细胞性甲状腺炎的临床疗效。方法选用我院2013年8月至2014年8月收治的104例慢性淋巴细胞性甲状腺炎患者作为实验对象,将患者分为中药组和西药组各52例。西药组采用西医药物治疗,中药组采用软坚消瘿汤治疗。治疗4个月后,对比两组患者的临床疗效,评定疗效的指标为血清促甲状腺素(TSH)、抗甲状腺微粒体抗体(TMAb)、抗甲状腺球蛋白抗体(TGAb)、游离甲状腺素(FT4)和血清游离三碘甲状腺原氨酸(FT3)水平。结果中药组临床治疗总有效率82.69%明显高于西药组的总有效率65.38%,(P<0.05)两组差异有统计学意义。结论软坚消瘿汤具有活血软坚、健脾祛痰的作用,可以改善甲状腺细胞功能,对治疗慢性淋巴细胞性甲状腺炎疗效明显。"
二仙消瘿汤联合左甲状腺素钠治疗慢性淋巴细胞性甲状腺炎随机平行对照研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_b2TbZ3Iul3uHYgDEVEXW8jnrlqOeExvtpF71T9P43F5cB8aDnEaCyoDdhe95BkhtgQK5QJhg8Rwvgjj3-Z5qZdPtBI5d08Nu3xx4l5cNf0q5VjRkBNhw9J4ywEW3qgz8c5ksl8htRWVA==&uniplatform=NZKPT&language=CHS,朱莎,实用中医内科杂志,1/16/2017 13:24,期刊,4,慢性淋巴细胞性甲状腺炎; 桥本甲状腺炎; 瘿病; 二仙消瘿汤; 左甲状腺素钠; TSH; TT3; TT4; FT3; FT4; 甲状腺峡部厚度; TNF-α; 中西医结合治疗; 随机平行对照研究;,"[目的]观察二仙消瘿汤联合左甲状腺素钠治疗慢性淋巴细胞性甲状腺炎疗效。[方法]使用机平行对照方法,将70例门诊患者按就诊顺序号抽签方法简单随机分为两组。对照组35例左甲状腺素钠,25ug/d为开始剂量,晨空腹温水送服,4周后,针对甲状腺激素水平调整。治疗组35例二仙消瘿汤:川芎10g,仙茅9g,浙贝母、当归各12g,鹿角胶5g,熟地黄10g,仙灵脾、淮山药各15g,山萸肉6g,巴戟天10g,水煎300mL,2次/d,早晚温服;纳差加麦芽炒、谷芽炒、白术;颈前粗大加半夏法、牡蛎煅、夏枯草;面目浮肿加泽兰、泽泻、茯苓;左甲状腺素钠治疗同对照组。连续治疗1个月为1疗程。观测临床症状、甲状腺峡部厚度、TNF-α、TSH、TT3、TT4、FT3、FT4、不良反应。连续治疗3疗程(3个月),判定疗效。[结果]治疗组显效10例,稳定23例,无效2例,总有效率94.29%;对照组显效4例,稳定18例,无效13例,总有效率62.86%,治疗组疗效优于对照组(P<0.01)。甲状腺峡部厚度、TNF-α两组均明显改善(P<0.01,P<0.05),治疗组改善优于对照组(P<0.01)。TSH、TT3、TT4、FT3、FT4两组均明显改善(P<0.01);治疗组改善优于对照组(P<0.01,P<0.05)。[结论]二仙消瘿汤联合左甲状腺素钠治疗慢性淋巴细胞性甲状腺炎,疗效满意,无严重不良反应,值得推广。"
慢性淋巴细胞性甲状腺炎合并甲状腺乳头状癌的外科诊疗,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Zcd0kyuS2mU5BPBxL1btYZjYx9-KKa9BpqUQguuCT9u18NYpNGFCWMfPsxhjvLd-B9lQ8Z78kQTHwa0FybXWOk7OyquqUaKNXamdQz9kdUu3Nj0W8XZjigTBDs00618PaqHRsXlneYVw==&uniplatform=NZKPT&language=CHS,张磊;汤铜;史加宁;李佳;郑璐,安徽医学,9/28/2018 15:15,期刊,4,甲状腺乳头状癌; 颈淋巴结转移癌; 外科手术; 慢性淋巴细胞性甲状腺炎;,"目的探讨慢性淋巴细胞性甲状腺炎(CLT)合并甲状腺乳头状癌(PTC)的临床诊断及治疗。方法回顾性分析2014年8月至2016年6月安徽医科大学第二附属医院收治的36例CLT合并PTC患者的临床资料。结果 36例患者中,有22例(61. 1%)存在多发结节,21例(58. 3%)位于双侧; 9例(25. 0%)存在多发癌灶,4例(11. 1%)位于双侧。32例患者行中央区或联合颈侧区淋巴结清扫术,17例(53. 1%)存在中央区转移淋巴结。结论 CLT合并的PTC有多灶性特点,手术方式建议行甲状腺全/近全切除术,少数患者可行单侧腺叶+峡部切除;建议常规清扫中央区淋巴结,慎重选择清扫颈侧区淋巴结。"
软坚消瘿汤防治慢性淋巴细胞性甲状腺炎的机理研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Y9n2UCaeJoenYvxc1QHtfrQaIaOJWrC_0JTBLIow3dWShIeezmm_4yUJSXo1pR56S-R2kWZDzT6wl55tjgz7C3xSDBZUqqftyySzj47GBwrf0KVkTFPFaKMZ8LyBMe6gfPTfO9WD_wyA==&uniplatform=NZKPT&language=CHS,方振伟,辽宁中医药大学,5/1/2010,硕士,4,实验性自身免疫性甲状腺炎; 软坚消瘿汤; 甲状腺自身抗体; 细胞因子; 凋亡相关蛋白;,"目的:通过观察中药复方软坚消瘿汤对实验性自身免疫性甲状腺炎(EAT)模型大鼠血清甲状腺球蛋白抗体(TgAb)、甲状腺过氧化酶抗体(TpoAb)、IL-1、6、TNF-α的影响及对甲状腺组织病理形态学、细胞凋亡相关蛋白Fas/FasL、Bcl-2/Bax的影响,从多靶点探讨软坚消瘿汤治疗慢性淋巴细胞性甲状腺炎的机理。 材料与方法: 以甲状腺球蛋白与弗氏完全佐剂连续两次皮下注射免疫实验大鼠,其间间隔两天,后三周以甲状腺球蛋白联合弗氏不完全佐剂对实验组大鼠再次进行皮下注射,以加强免疫,同时配合饮用高碘水(1L水中加入0.64 g碘化钠配制而成),获得实验性自身免疫性甲状腺炎(EAT)大鼠的动物模型。取实验组大鼠血清,检测Tg抗体的效价,随即将所有实验大鼠随机分为正常对照组、软坚消瘿汤治疗组、雷公藤多甙片对照组和模型组四组。软坚消瘿汤治疗6周后:(1)以酶联免疫法(ELISA法)检测各组大鼠血清TgAb、TpoAb、IL-1、6、TNF-α的变化;(2)以免疫组化法检测各组大鼠甲状腺组织中细胞凋亡相关蛋白Fas/FasL、Bcl-2/Bax的变化;(3)光镜下观察甲状腺组织病理形态学变化;(4)将各组结果进行统计学分析。 结果: 1.软坚消瘿汤治疗组与模型组比较:大鼠血清甲状腺自身抗体TgAb、TpoAb及IL-1、6、TNF-α水平明显降低,甲状腺组织Fas/FasL、Bax表达减少,甲状腺组织Bcl-2表达增加。光镜下观察软坚消瘿汤治疗组甲状腺组织结构损伤轻于模型组。 2.雷公藤多甙片治疗组与模型组比较:大鼠血清甲状腺自身抗体TgAb、TpoAb及IL-1、6、TNF-α水平明显降低,甲状腺组织Fas/FasL、Bax表达减少,甲状腺组织Bcl-2表达有所增加。光镜下观察雷公藤多甙片治疗组甲状腺组织结构损伤轻于模型组。 3.软坚消瘿汤治疗组与雷公藤多甙片对照组比较:软坚消瘿汤治疗组对各种指标的改善均优于雷公藤多甙片对照组。 结论: 1.软坚消瘿汤具有降低EAT大鼠血清甲状腺自身抗体及相关细胞因子水平的作用。 2.软坚消瘿汤具有减轻EAT大鼠甲状腺细胞凋亡的作用。 3.软坚消瘿汤具有减轻EAT大鼠甲状腺病理损伤的作用。"
慢性淋巴细胞甲状腺炎的诊断及治疗,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_Y9n2UCaeJoenYvxc1QHtfrzxmuVa03ht6F0aIVKanAejZNucffHHd6rLBK2096wBvwcuHXsSPJLbeDQULeyerF1Ojma-wu2IJ7I_rpkN-acrWnk7JDTE3XAFSY26coYRo=&uniplatform=NZKPT&language=CHS,班博,山东医药,3/25/2001,期刊,3,,
慢性淋巴细胞性甲状腺炎并发恶性淋巴瘤及乳头状癌1例,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZpHhPZALN_wK8lKltuutYEr5Mow4rCMHyETdIJvCB0ye8vLhpEgH5iciiMB0SaBDS-ximDi2ytXZmhtl8rjC7FGdYjryfa8l5HPN02p16SFfXpr0OkQB7H4K21qPpPe_4=&uniplatform=NZKPT&language=CHS,"周虹,刘文丽,郭晋,李凯声",中国综合临床,4/30/2001,期刊,3,甲状腺炎; 淋巴瘤; 乳头状癌;,
慢性淋巴细胞性甲状腺炎与HLA-A、-B和-DR关联的研究,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZpHhPZALN_wK8lKltuutYEr5Mow4rCMHy4vCKbHNiGA9fiT4BeojbPNH8d6hniW8MdKvn9e8g8wLC4H3OORUns0zzXCswy9i9MSBpb5KpDWOrbEykoFNPP0X9ElC6YbS4=&uniplatform=NZKPT&language=CHS,"刘小莺,林益川,张芳林,沈晶晶,关晓蕾",标记免疫分析与临床,12/20/2002,期刊,3,,
慢性淋巴细胞性甲状腺炎的诊断和治疗(附49例报告),https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bU4RP61aJAn5tF2xIEe2MQy1MEHt8-pDVjDYCbgyAm8OtNTtKwZHwhsmj6_6SSXq4nqdMzHjahGFcRqxzM1tpOh6_1xMMiWAp0-B4xA91sNblqGuTMIgTUlHSZiIdELeE=&uniplatform=NZKPT&language=CHS,"陈新文,张扬,魏尚典,黎有典",中国现代医学杂志,11/26/2002,期刊,3,甲状腺炎; 自身免疫性; 诊断治疗;,"目的 :探讨慢性淋巴细胞性甲状腺炎 (CLT)的诊断 ,以及CLT合并其它甲状腺疾病的治疗方案选择。方法 :回顾性分析该院 1988～ 2 0 0 1年收治的 4 9例CLT的临床资料。结果 :术前诊断 11例 ,诊断率为 2 2 .4 %(11/ 4 9) ,其中经细针穿刺细胞学检查 (FNAC)诊断 10例 ,均予以甲状腺素片治疗 ,疗效满意。其余 38例分别误诊为其它甲状腺疾病而施行手术 ,其中合并甲亢 5例 ,合并结节性甲状腺肿 5例 ,合并甲状腺腺瘤 4例 ,合并甲状腺癌 3例 ;手术组中随访 2 7例 (71.1% ) ,6例发生甲低。结论 :全面的血清免疫学检查 ,结合FNAC检查可提高CLT的诊断率。该病以非手术冶疗为主 ,对合并其它病变者 ,应根据病理类型选择合理的治疗方案。"
慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的诊治(附13例报告),https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_bU4RP61aJAn5tF2xIEe2MQy1MEHt8-pDXtdqxMIttDwIqOekN20CSx4FE7XW51Q8q05cMtKjGDhf-Ec1WLRH1W7GrN8QupaDRgRDrQ2jLcyggSNp7Py4SZF8ygcWpLuwk=&uniplatform=NZKPT&language=CHS,邓小凡;李波;陈鹏,四川医学,1/15/2006,期刊,3,慢性淋巴细胞性甲状腺炎; 甲状腺恶性肿瘤; 诊断; 治疗;,"目的总结慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的诊治经验。方法综合分析我院2002年11月至2005年3月手术治疗并经病理检查证实的13例慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤的临床资料。结果慢性淋巴细胞性甲状腺炎合并乳头状癌10例,合并滤泡状癌1例,合并非霍奇金淋巴瘤2例。13例均获随访,治疗效果良好。结论慢性淋巴细胞性甲状腺炎合并甲状腺恶性肿瘤以合并乳头状癌为多(10/13)。术前仔细的体检、甲状腺功能检查、彩色多普勒检查以及结合细针穿刺细胞学检查可以提高术前诊断率,重视术中甲状腺薄层切片及冷冻检查有利于提高术中确诊率,从而选择正确的手术方式。"
1例老年桥本病并发甲状腺癌患者的围术期护理,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_ZOnWKOcAdf38Zgh8es2XMp8FkAoKhzodw3fr5vF5g4qbj65UUv5q7r4I9qkSirvslldk7T-3tm7HABr6wTa8NP8roJ6bbDxQ8NfjoiU-pB4w26lLbnGDOHBAIpPBd0-yE=&uniplatform=NZKPT&language=CHS,顾朝丽;严丽华;陈锦兰;田婷;朱玉玲,护理学杂志,3/25/2006,期刊,3,"老年人; 甲状腺肿瘤; 甲状腺,自身免疫性; 围手术期护理;","对1例老年慢性淋巴细胞甲状腺炎(桥本病)并发晚期甲状腺癌(癌肿侵及气管)患者行手术治疗,经周密细致的护理,患者临床康复出院。提出术前做好心理护理、气道护理,术后做好气管切开护理、并发症的观察是手术成功的保证。"
慢性淋巴细胞性甲状腺炎120例彩色多普勒超声诊断分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aUcjEnINVHTJzxjFUpoXKtow-tCput9IYx5XXR57BZkL16T0CzIF-3-b6thik9arJkN8zn55teWi7YCk1ObLJP6v4tbRxpIxyECIxG44zL3dKXdP7DNd5q7sMth21n4jU=&uniplatform=NZKPT&language=CHS,裴劲松,山西医药杂志,1/15/2009,期刊,3,,
48例慢性淋巴细胞性甲状腺炎临床分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aUcjEnINVHTJzxjFUpoXKtow-tCput9IYeFOoDSycjwCXRfG4d3xFjhL5cGzNyl9GXbR1RguLksHHlyoITqCihvk0jF-_nQZ5vAM-RpvHHLxHmKtpmhOZs97oELX-cBJk=&uniplatform=NZKPT&language=CHS,耿向华,当代医学,8/25/2012,期刊,3,慢性淋巴细胞性甲状腺炎; TPOAb; TGAb; 临床分析;,"目的总结慢性淋巴细胞性甲状腺炎临床特点,为临床诊治提供参考和指导。方法回顾分析2009～2011年48例慢性淋巴细胞性甲状腺炎患者的临床资料。结果慢性淋巴细胞性甲状腺炎临床发病以女性为主,以30～50岁多见;表现为质地坚韧的甲状腺中度肿大;TPOAb联合TGAb测定在诊断上有重要意义。治疗目的是纠正继发的甲状腺功能异常和缩小显著肿大的甲状腺。结论慢性淋巴细胞性甲状腺炎临床表现多不典型,临床诊治过程应从多因素综合考虑。"
慢性淋巴细胞性甲状腺炎的超声诊断价值,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aefGy5bjRNFwyP3mD8hNFNQwyiOUhbphjerw0G_Pbco7gv7jLyXHiIKmCVZFZacE4pW_lAzHNGCV2rksDekTi2FsbNu5DZr2O_SXMMl4wrQ9aATaX5ZppuXB7Tf7CwU98=&uniplatform=NZKPT&language=CHS,秦丽微;郑春梅;曹霞,黑龙江医药科学,2/15/2014,期刊,3,慢性淋巴细胞性甲状腺炎; 超声诊断; 声像图特征;,"目的:通过研究慢性淋巴细胞性甲状腺炎(HT)的超声检查声像图特征,以提高对HT的诊断价值。方法:用高频探头对42例已经被临床证实的HT患者检查,分析并总结HT的声像图特征,对声像图进行分类、对比研究。结果:HT超声声像图特征为甲状腺回声弥漫性不均、减低者占67%(其中包括回声弥漫性不均并夹杂条索样强回声),甲状腺回声局限性减低者占10%,甲状腺回声弥漫性不均合并结节者占26%,42例HT患者甲状腺内径均有不同程度增大,以峡部的增厚为特征性表现;彩色多普勒均表现为弥漫性不均的实质内血流信号丰富,可呈""火海""样表现。结论:慢性淋巴细胞性甲状腺炎具有较为典型的超声声像图特征,能为临床明确诊断提供重要依据。"
慢性淋巴细胞性甲状腺炎患者血清TGA、TMA阳性标准探讨及其临床意义,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aefGy5bjRNFwyP3mD8hNFNQwyiOUhbphiJ5KxBMsf6YKCTdcpaN93tQ6_xWYqllggeaX1zwN1M4u5iaDsdsak8UWa_-wXeerDBrmlHP4XlpPorqsjDUTv_CJE6yKn6QjI=&uniplatform=NZKPT&language=CHS,汤保德;杨凤英;李恩全;马钦波;冯毓正,昆明医学院学报,12/31/1993,期刊,3,慢性淋巴细胞性甲状腺炎; TGA; TMA;,"用放射免疫法,对117例经病理确诊的五种甲状腺疾病患者及80例正常人作血清TGA、TMA测定。结果,慢性淋巴细胞性甲状腺炎组血清TGA、TMA滴度显著高于其他四种甲状腺疾病及正常对照组(P<0.0001)。结果提示:(1)TGA+TMA对CLT的诊断具有特异性:(2)阳性标准为TGA+TMA≥69％～≤105％;(3)强阳性标准为TGA+TMA≥106％,阳性提示CLT,强阳性高度提示CLT的诊断。"
慢性淋巴细胞性甲状腺炎预后临床再分析,https://kns.cnki.net/kcms2/article/abstract?v=a2GKbg6fW_aBYQmG2c4DKR1wqjqVidYph4my8CcEQZwgHGWE7v5CjfrvwNMCDaJ3m5cbo5Mh-ojarlhB_XmSQxD6fE7r4hLR9zyvMp1SzH7lKWBFUHtF5die4qztOmy9inyhuo6_ALc=&uniplatform=NZKPT&language=CHS,"宋利群,白耀,郭芝生,戴为信,崔全才",中国医学科学院学报,8/30/1997,期刊,3,慢性淋巴细胞性甲状腺炎; 甲状腺功能减低; 甲状腺肿瘤;,本研究对300例慢性淋巴细胞性甲状腺炎患者进行随诊，发现有2例合并甲状腺乳头状癌，其发生率并不高；以甲状腺功能减低为首发症状者占643％，随诊过程中甲状腺功能低减的发生率为76％。统计分析表明，甲状腺功能低减的发生与抗甲状腺球蛋白抗体增高、甲状腺肿大及甲状腺疼痛等有关。
